ratio,trial,C,val-acc,val-f,test-acc,test-f
0.0,18.0,0.2,0.8271604938271605,0.7941176470588235,0.8395061728395061,0.8169014084507042
0.0,18.0,0.04,0.8271604938271605,0.7941176470588235,0.8148148148148148,0.782608695652174
0.0,18.0,0.008,0.8271604938271605,0.7878787878787877,0.7654320987654321,0.7076923076923076
0.0,18.0,0.0016,0.5555555555555556,0.0,0.5308641975308642,0.0
0.0,19.0,625.0,0.8765432098765432,0.8571428571428571,0.8271604938271605,0.8108108108108107
0.0,19.0,125.0,0.8765432098765432,0.8571428571428571,0.8271604938271605,0.8108108108108107
0.0,19.0,25.0,0.8765432098765432,0.8571428571428571,0.8271604938271605,0.8108108108108107
0.0,19.0,5.0,0.8765432098765432,0.8571428571428571,0.8271604938271605,0.8108108108108107
0.0,19.0,1.0,0.8641975308641975,0.8450704225352113,0.8024691358024691,0.7837837837837837
0.0,19.0,0.2,0.8765432098765432,0.8571428571428571,0.8518518518518519,0.8333333333333333
0.0,19.0,0.04,0.8765432098765432,0.8529411764705881,0.8518518518518519,0.8285714285714286
0.0,19.0,0.008,0.8518518518518519,0.8181818181818181,0.8765432098765432,0.84375
0.0,19.0,0.0016,0.5432098765432098,0.0,0.5802469135802469,0.0
0.0,20.0,625.0,0.691358024691358,0.6478873239436619,0.8641975308641975,0.8571428571428571
0.0,20.0,125.0,0.691358024691358,0.6478873239436619,0.8641975308641975,0.8571428571428571
0.0,20.0,25.0,0.691358024691358,0.6478873239436619,0.8641975308641975,0.8571428571428571
0.0,20.0,5.0,0.691358024691358,0.6478873239436619,0.8765432098765432,0.8648648648648647
0.0,20.0,1.0,0.7283950617283951,0.7027027027027027,0.8888888888888888,0.8800000000000001
0.0,20.0,0.2,0.7407407407407407,0.7200000000000001,0.8641975308641975,0.8533333333333333
0.0,20.0,0.04,0.7407407407407407,0.7123287671232877,0.8518518518518519,0.8421052631578949
0.0,20.0,0.008,0.8024691358024691,0.7714285714285714,0.8518518518518519,0.8333333333333334
0.0,20.0,0.0016,0.5308641975308642,0.0,0.5061728395061729,0.0
0.0,21.0,625.0,0.8271604938271605,0.7586206896551724,0.7530864197530864,0.7619047619047619
0.0,21.0,125.0,0.8271604938271605,0.7586206896551724,0.7530864197530864,0.7619047619047619
0.0,21.0,25.0,0.8271604938271605,0.7586206896551724,0.7530864197530864,0.7619047619047619
0.0,21.0,5.0,0.8271604938271605,0.7586206896551724,0.7530864197530864,0.7619047619047619
0.0,21.0,1.0,0.8271604938271605,0.7586206896551724,0.7654320987654321,0.7710843373493975
0.0,21.0,0.2,0.8518518518518519,0.793103448275862,0.7777777777777778,0.7857142857142857
0.0,21.0,0.04,0.8765432098765432,0.8214285714285715,0.7777777777777778,0.7804878048780488
0.0,21.0,0.008,0.8765432098765432,0.8214285714285715,0.8024691358024691,0.8
0.0,21.0,0.0016,0.6296296296296297,0.0,0.4444444444444444,0.0
0.0,22.0,625.0,0.8395061728395061,0.7868852459016393,0.8641975308641975,0.8607594936708861
0.0,22.0,125.0,0.8395061728395061,0.7868852459016393,0.8641975308641975,0.8607594936708861
0.0,22.0,25.0,0.8395061728395061,0.7868852459016393,0.8641975308641975,0.8607594936708861
0.0,22.0,5.0,0.8395061728395061,0.7868852459016393,0.8641975308641975,0.8607594936708861
0.0,22.0,1.0,0.8518518518518519,0.7999999999999999,0.8641975308641975,0.8571428571428572
0.0,22.0,0.2,0.8518518518518519,0.7857142857142856,0.8765432098765432,0.868421052631579
0.0,22.0,0.04,0.8518518518518519,0.7931034482758621,0.8765432098765432,0.868421052631579
0.0,22.0,0.008,0.8641975308641975,0.7999999999999999,0.8641975308641975,0.8493150684931507
0.0,22.0,0.0016,0.6172839506172839,0.0,0.5308641975308642,0.05
0.0,23.0,625.0,0.8271604938271605,0.7741935483870969,0.8024691358024691,0.7894736842105263
0.0,23.0,125.0,0.8271604938271605,0.7741935483870969,0.8024691358024691,0.7894736842105263
0.0,23.0,25.0,0.8271604938271605,0.7741935483870969,0.8024691358024691,0.7894736842105263
0.0,23.0,5.0,0.8395061728395061,0.8,0.7901234567901234,0.7605633802816901
0.0,23.0,1.0,0.8395061728395061,0.8,0.7901234567901234,0.7605633802816901
0.0,23.0,0.2,0.8395061728395061,0.8,0.8148148148148148,0.7945205479452055
0.0,23.0,0.04,0.8518518518518519,0.8125,0.8148148148148148,0.7945205479452055
0.0,23.0,0.008,0.8641975308641975,0.8196721311475409,0.8395061728395061,0.8115942028985507
0.0,23.0,0.0016,0.6172839506172839,0.06060606060606061,0.5925925925925926,0.1951219512195122
0.0,24.0,625.0,0.7777777777777778,0.71875,0.8271604938271605,0.7941176470588235
0.0,24.0,125.0,0.7777777777777778,0.71875,0.8271604938271605,0.7941176470588235
0.0,24.0,25.0,0.7777777777777778,0.71875,0.8271604938271605,0.7941176470588235
0.0,24.0,5.0,0.7777777777777778,0.71875,0.8271604938271605,0.7941176470588235
0.0,24.0,1.0,0.8148148148148148,0.7761194029850745,0.8518518518518519,0.8285714285714284
0.0,24.0,0.2,0.8641975308641975,0.8307692307692308,0.8641975308641975,0.8450704225352113
0.0,24.0,0.04,0.8641975308641975,0.8307692307692308,0.8518518518518519,0.8285714285714284
0.0,24.0,0.008,0.8641975308641975,0.819672131147541,0.8518518518518519,0.8285714285714284
0.0,24.0,0.0016,0.6172839506172839,0.1142857142857143,0.5432098765432098,0.09756097560975609
0.0,25.0,625.0,0.8148148148148148,0.782608695652174,0.7901234567901234,0.7605633802816901
0.0,25.0,125.0,0.8148148148148148,0.782608695652174,0.7901234567901234,0.7605633802816901
0.0,25.0,25.0,0.8148148148148148,0.782608695652174,0.7901234567901234,0.7605633802816901
0.0,25.0,5.0,0.8271604938271605,0.7941176470588235,0.7901234567901234,0.7605633802816901
0.0,25.0,1.0,0.8395061728395061,0.8115942028985507,0.8024691358024691,0.7714285714285714
0.0,25.0,0.2,0.8395061728395061,0.8115942028985507,0.8395061728395061,0.8115942028985507
0.0,25.0,0.04,0.8765432098765432,0.8484848484848486,0.8395061728395061,0.7999999999999999
0.0,25.0,0.008,0.8888888888888888,0.8615384615384616,0.8395061728395061,0.7936507936507937
0.0,25.0,0.0016,0.7283950617283951,0.45000000000000007,0.6296296296296297,0.34782608695652173
0.0,26.0,625.0,0.8395061728395061,0.8266666666666667,0.7407407407407407,0.7123287671232877
0.0,26.0,125.0,0.8395061728395061,0.8266666666666667,0.7407407407407407,0.7123287671232877
0.0,26.0,25.0,0.8395061728395061,0.8266666666666667,0.7407407407407407,0.7123287671232877
0.0,26.0,5.0,0.8271604938271605,0.8205128205128206,0.7654320987654321,0.7323943661971832
0.0,26.0,1.0,0.8148148148148148,0.810126582278481,0.7654320987654321,0.7246376811594202
